Id,SalePrice
1461,129691.34202695274
1462,151504.63909827187
1463,181086.0140155806
1464,185042.38153209857
1465,194052.49929629124
1466,174806.9952456474
1467,175796.70477595011
1468,167286.74086752554
1469,189438.72269551177
1470,125492.51654497512
1471,197756.15067055513
1472,96458.31008900164
1473,96900.88458623564
1474,156010.53949337793
1475,143805.76908404526
1476,371860.7940357797
1477,251925.12457829088
1478,306841.7255282872
1479,263361.8473870332
1480,464577.26377019356
1481,317030.57467157295
1482,209802.47634358652
1483,168050.8770576385
1484,171348.81112718096
1485,167376.02955081334
1486,189669.1868720185
1487,358697.68651572685
1488,246278.09990673393
1489,198064.62307308867
1490,202703.48684481066
1491,188696.51071680238
1492,101944.02593579478
1493,189736.35165496197
1494,292319.0498256226
1495,290579.6241275433
1496,230978.73964402353
1497,181010.52956800497
1498,160423.5720470021
1499,161146.24619417705
1500,149622.58318000197
1501,173780.06278417577
1502,156951.42697158657
1503,290449.73732160893
1504,230657.19182231638
1505,217038.51242377533
1506,185031.0618086735
1507,240091.70399665344
1508,200933.10507699838
1509,160739.8212418108
1510,145539.52921753481
1511,143292.39002493353
1512,162397.98031553897
1513,148313.5322648598
1514,171843.75114358013
1515,198407.73372591814
1516,173998.76262671666
1517,151978.66964284546
1518,132729.5086542776
1519,223015.01941069128
1520,135376.86371080278
1521,137194.8387000861
1522,168029.07921824703
1523,111313.65867199244
1524,124038.34475527501
1525,130629.32962503475
1526,130735.37590742657
1527,102059.3975602453
1528,130324.06494865485
1529,142386.14211361925
1530,181742.47422397856
1531,111736.87014907182
1532,111661.90429140987
1533,142109.1319736095
1534,119256.65075579305
1535,166673.15108298935
1536,123666.21971841421
1537,80858.20130979404
1538,190113.3035863296
1539,222125.8544804374
1540,98443.51471870505
1541,150905.6097188253
1542,145393.9740144943
1543,237531.30505833175
1544,90759.5437586874
1545,97282.60454971754
1546,125973.63213606687
1547,136703.5416937311
1548,128937.79647366807
1549,106888.59945452346
1550,143066.7172726254
1551,116371.96242261353
1552,130835.94893720091
1553,149930.9691000629
1554,113099.8579625368
1555,170799.55929508258
1556,86461.63749934801
1557,111951.59364665482
1558,86672.89395352676
1559,93265.95661110223
1560,143278.71349444267
1561,138005.45257704202
1562,130648.20378591963
1563,124169.94278250016
1564,160001.84670351466
1565,149096.57442727784
1566,220828.3655054939
